Idx,Filename,Size_MB,Operation,Serial_s,OMP_2,OMP_4,OMP_8,CU_128,CU_256,CU_512
1,sample1.txt,0.000981331,Encryption,0.0001308,0.0003813,0.0007002,0.0014374,0.0022323,0.0010902,0.0006909
1,sample1.txt,0.000981331,Decryption,0.000133,0.0012524,0.0005974,0.0015941,0.0008144,0.0006963,0.0005996
2,sample2.txt,0.00421429,Encryption,0.0004873,0.0021989,0.0009538,0.0019783,0.0008841,0.0006855,0.0006008
2,sample2.txt,0.00421429,Decryption,0.0004981,0.0014378,0.0007503,0.0026264,0.0007797,0.0005998,0.0008064
3,sample3.txt,0.00745201,Encryption,0.0009039,0.0018037,0.0008376,0.0015413,0.0006883,0.0006289,0.0005787
3,sample3.txt,0.00745201,Decryption,0.0009174,0.0014815,0.0010852,0.0016835,0.0007522,0.0005887,0.000591
4,sample4.txt,0.0106907,Encryption,0.0012668,0.0017817,0.0017944,0.0017519,0.0008139,0.000602,0.0006054
4,sample4.txt,0.0106907,Decryption,0.0012675,0.0019461,0.0010926,0.0017342,0.0007763,0.0006453,0.0006144
5,sample5.txt,0.0139284,Encryption,0.0017839,0.0023804,0.001325,0.0021452,0.0007973,0.000674,0.000688
5,sample5.txt,0.0139284,Decryption,0.0018894,0.0022655,0.001185,0.0020537,0.0008287,0.0007048,0.000704
6,sample6.txt,0.0171661,Encryption,0.003105,0.0027516,0.0013577,0.0019616,0.0008533,0.0006739,0.0006983
6,sample6.txt,0.0171661,Decryption,0.0023699,0.0024586,0.0013616,0.0022423,0.0007922,0.0007064,0.0006147
7,sample7.txt,0.0204048,Encryption,0.0033607,0.0034047,0.0015071,0.0021106,0.0008643,0.000712,0.0006331
7,sample7.txt,0.0204048,Decryption,0.0027803,0.0027124,0.0013954,0.0029753,0.0009117,0.0006916,0.0007057
8,sample8.txt,0.0236425,Encryption,0.0033222,0.0036769,0.0015482,0.0023457,0.0008443,0.000735,0.0006766
8,sample8.txt,0.0236425,Decryption,0.0032854,0.0029778,0.0016249,0.002638,0.0008024,0.0006865,0.0006905
9,sample9.txt,0.0268803,Encryption,0.0037195,0.003323,0.0018873,0.0029848,0.0008508,0.0006967,0.0006689
9,sample9.txt,0.0268803,Decryption,0.0036996,0.0035968,0.0018532,0.0022342,0.0008351,0.0006437,0.0006022
10,sample10.txt,0.0301189,Encryption,0.0041775,0.0040809,0.0027219,0.0034395,0.0008315,0.0007247,0.0006668
10,sample10.txt,0.0301189,Decryption,0.0068306,0.0039065,0.0021062,0.0032197,0.0009028,0.0007322,0.0006801
11,sample11.txt,0.0333567,Encryption,0.0046785,0.004297,0.0019447,0.00301,0.0008515,0.0006899,0.0006121
11,sample11.txt,0.0333567,Decryption,0.004547,0.0039729,0.0020773,0.0030734,0.0008114,0.000639,0.0006168
12,sample12.txt,0.0365953,Encryption,0.0082057,0.0051342,0.0028741,0.0031273,0.0008077,0.0008034,0.0007094
12,sample12.txt,0.0365953,Decryption,0.0085173,0.0041839,0.0020337,0.0029811,0.0008615,0.0006903,0.0006735
13,sample13.txt,0.0135031,Encryption,0.0019487,0.0025177,0.0015242,0.0026635,0.0008402,0.0006497,0.0006031
13,sample13.txt,0.0135031,Decryption,0.0020526,0.0027984,0.0014633,0.0026644,0.0008242,0.0007135,0.0006788
14,sample14.txt,0.0168104,Encryption,0.0037404,0.0036871,0.0013336,0.0026491,0.0008982,0.0007133,0.0006722
14,sample14.txt,0.0168104,Decryption,0.0023203,0.0024871,0.0016409,0.0026497,0.0007871,0.0006721,0.0006557
15,sample15.txt,0.0209217,Encryption,0.003076,0.0033263,0.0020494,0.0027651,0.0008511,0.0007014,0.0006587
15,sample15.txt,0.0209217,Decryption,0.0033144,0.0030289,0.0015923,0.0033122,0.0008601,0.0006068,0.0006341
16,sample16.txt,0.0260391,Encryption,0.0035782,0.0042208,0.0017267,0.0029998,0.0008881,0.0007333,0.0005895
16,sample16.txt,0.0260391,Decryption,0.0037198,0.0033356,0.0018305,0.0029601,0.0008388,0.0007177,0.0007194
17,sample17.txt,0.0324106,Encryption,0.007214,0.0037795,0.0018196,0.0025732,0.0008221,0.0006605,0.0006833
17,sample17.txt,0.0324106,Decryption,0.0044463,0.0036579,0.0022042,0.0036195,0.0007458,0.0006797,0.0006957
18,sample18.txt,0.0403414,Encryption,0.0058493,0.0047087,0.0022432,0.0036697,0.0007955,0.0007651,0.0007162
18,sample18.txt,0.0403414,Decryption,0.0056658,0.0044442,0.0021298,0.0030394,0.000858,0.0007053,0.0006559
19,sample19.txt,0.0502129,Encryption,0.0112231,0.0049119,0.0026035,0.0038974,0.0017019,0.0008308,0.0007538
19,sample19.txt,0.0502129,Decryption,0.0068775,0.0051678,0.0026435,0.0041122,0.0009383,0.0007261,0.0007411
20,sample20.txt,0.0625,Encryption,0.0090581,0.0062047,0.0035075,0.0034393,0.0010429,0.0008455,0.0008358
20,sample20.txt,0.0625,Decryption,0.0087639,0.0059824,0.0027994,0.0039644,0.0008963,0.0008106,0.0007754
21,sample21.txt,0.0718765,Encryption,0.0099691,0.0073447,0.0032497,0.0038864,0.0010122,0.0008705,0.0009129
21,sample21.txt,0.0718765,Decryption,0.0101386,0.0068045,0.0034704,0.0040222,0.0010907,0.0008822,0.0008706
22,sample22.txt,0.0825577,Encryption,0.011584,0.008161,0.0034475,0.0040813,0.0010121,0.000793,0.000771
22,sample22.txt,0.0825577,Decryption,0.0115909,0.0075243,0.003396,0.0039972,0.0010046,0.0007582,0.0007665
23,sample23.txt,0.0948277,Encryption,0.0136542,0.0083651,0.0039983,0.0055666,0.0010116,0.0009169,0.0009186
